title,artist,total_play_time
絶対零度 - Absolute zero,Tsukuyomi,7m 23s
あやふや - Ambiguous,Rokudenashi,7m 21s
刹那の誓い - Setsunano Chikai (feat. Tsukasa Yuzaki),Neko Hacker,7m 20s
acies,skyfall beats,7m 20s
ESCORT,Chase Atlantic,7m 17s
ブルーバード - Blue Bird,Ikimonogakari,7m 16s
ヨダカ - Nightjar,Tsukuyomi,7m 16s
Just Cry No Cues,JANI,7m 16s
アオとキラメキ - Ao to Kirameki,spira spica,7m 14s
Bande 4,Watan Sahi,7m 11s
Kabhi Kabhi,AUR,7m 10s
LIMBO (Lyric Video),keshi,7m 9s
くらべられっ子 - Compared Child,TUYU,7m 8s
本当だよ - Hontoudayo (feat. 花本朔),ナツノセ,7m 7s
アイドル,YOASOBI,7m 6s
チカっとチカ千花っ,小原好美,7m 6s
イフ - IF,Tsukuyomi,7m 6s
Drive You Insane,Daniel Di Angelo,7m 5s
Medley of Vaseegara and Zara Zara,Sowmya Krishnamachari,7m 4s
ブルーモーション - Blue Motion,Meiyo Densetsu,7m 3s
WE - Jind Universe | Official Music Video,Jind Universe,7m 1s
YOU,Chase Atlantic,6m 57s
aquarium (feat. Lil Cobaine & Idle Kid),GOON DES GARCONS*,6m 56s
Under Pressure,Chase Atlantic,6m 55s
impulse,AliA,6m 54s
Starry,Kyo Hanabasami,6m 54s
Hibana (Cover),Ado,6m 50s
Let Me Love You (feat. Justin Bieber),DJ Snake,6m 50s
チキチキバンバン - chikichikibanban,QUEENDOM,6m 44s
Chaleya,Arijit Singh,6m 40s
Tere Layi,Nirvair Pannu,6m 40s
青のすみか - Where Our Blue Is,Tatsuya Kitani,6m 33s
春を告げる - Haru wo Tsugeru,yama,6m 32s
祝福,YOASOBI,6m 32s
Fade Into Starlight,DAZBEE,6m 31s
FightSong,Eve,6m 31s
"醜悪 - In my view, this world is",Tsukuyomi,6m 29s
Excuses,AP Dhillon,6m 28s
The Machine (Slowed),Aurora Olivas  ,6m 24s
ライラ - Lyla,esolagoto,6m 21s
Bichadna,Faheem Abdullah,6m 19s
夢と知りせば - If I Knew It Was A Dream,Tsukuyomi,6m 18s
ラブソングが歌えない - I can't sing a love song,kessoku band,6m 18s
Anjaan (feat. Nabeel Akbar & Talhah Yunus),JANI,6m 17s
Contigo Siempre (Ultra Slowed),Flame Runner,6m 16s
nadaaniyan,Akshath,6m 12s
CANTO DE LUNA (SUPER SLOWED),h6itam,6m 11s
Sing My Pleasure（Grace Ver.） - Sing My Pleasure (Grace Version),Grace (Vo.Hikari Kodama),6m 9s
Bars,Shubh,6m 9s
"Tu Kahan (feat. Abdullah Maharvi, Hasan Raheem & JANI)",Umair,6m 7s
Attraction,Sukha,6m 6s
Savan,Vilen,6m 6s
UNDEAD,YOASOBI,6m 5s
Leave Me Alone,Taimour Baig,6m 5s
夜行 - Night Runaway,HIBANA,6m 5s
逆転劇 - Gyakutengeki,Tsukuyomi,6m 4s
YAD,Vanna Rainelle,6m 1s
and I'm home -Original Master Version.- - And I'm Home -Original Master Version,Sayaka Miki (CV:Eri Kitamura),6m 1s
アスノヨゾラ哨戒班 / Hebi. cover,Hebi.,5m 59s
"DEAR, BELOVED",Umair,5m 57s
Aaj Bhi 2,Vishal Mishra,5m 53s
Toh Phir Aao,Pritam,5m 48s
残響散歌 - Zankyosanka,Aimer,5m 47s
options,Asal,5m 43s
Fine,Jokhay,5m 43s
Afsanay,Talha Anjum,5m 43s
Akhiyaan Gulaab,Mitraz,5m 42s
Hussan Illahi,Wazir Patar,5m 35s
ALIVE (LycoReco Version),ClariS,5m 32s
Cold out here,Savage,5m 32s
LET THE WORLD BURN,Chris Grey,5m 31s
"Tu Hain Toh (From ""Mr. And Mrs. Mahi"")",Hunny Bunny,5m 29s
Meri Zindagi Hai Tu,Asim Azhar,5m 27s
Midnight Call,Harkirat Sangha,5m 27s
Sunflower (Spider-Man: Into the Spider-Verse) (Official Video),Post Malone,5m 23s
Keep It Up,Chase Atlantic,5m 23s
ただ声一つ - One Voice,Rokudenashi,5m 23s
VELVETAL (Ultra Slowed),Phonkha,5m 17s
Faasle,Kaavish,5m 11s
Churake,Vilen,5m 9s
Akhiyan,Harkirat Sangha,5m 9s
Never Mine,Harnoor,5m 2s
DIVINE - Rain | Prod. by Stunnah Beatz | Official Music Video,DIVINE,5m 2s
共犯者 - Partner in Crime,Meiyo Densetsu,5m 1s
Got You (feat. Jasmeen Akhtar),G Khan,5m 1s
NEXT - ncts ! SLOWED & REVERB | Remake Accurate,Ex Ball,5m 0s
Naam Chale,Vikram Sarkar,4m 59s
Maine Puchha Chand Se (The Unwind Mix),Rahul Vaidya,4m 56s
MONTAGEM NA PRAIA FUNK,Ravenzyss,4m 48s
Ham Tere Pyar Mein,"Lata Mangeshkar, Manna Dey, Sanam, Aishwarya Majmudar",4m 47s
A Tender Moon Tempo,Vivy (Vo.Kairi Yagi),4m 46s
Dooriyan,Mehak Kaur,4m 40s
HIGH EARNINGS,Tarsem Jassar,4m 39s
一期一会 - Ichigo Ichie,ClariS,4m 38s
Teri Jhuki Nazar (Film Version),Shafqat Amanat Ali,4m 38s
Regret (feat. Gurinder Gill),Navaan Sandhu,4m 31s
コネクト - Connect,ClariS,4m 30s
誰彼スクランブル - DareKareScramble,halca,4m 28s
blan_,Arika,4m 26s
Burst The Gravity,ALTIMA,4m 26s
Fell For You,Shubh,4m 19s
Baarishein,Anuv Jain,4m 19s
In Dino (Refresh Version),Mohammed Irfan,4m 16s
